Spectrum sequence number 3
Saved at time: 1074165 milliseconds
Integration time: 500000
Scans to average: 10
Boxcar smoothing: 0
Wavelengths	Intensities
336.52618408	1507.00000000
336.98196843	1519.00000000
337.43778931	1486.00000000
337.89364673	1504.00000000
338.34954070	1508.00000000
338.80547121	1507.00000000
339.26143827	1520.00000000
339.71744189	1533.00000000
340.17348206	1460.00000000
340.62955880	1529.00000000
341.08567210	1521.00000000
341.54182197	1523.00000000
341.99800842	1514.00000000
342.45423144	1491.00000000
342.91049105	1492.00000000
343.36678724	1512.00000000
343.82312002	1498.00000000
344.27948940	1514.00000000
344.73589537	1515.00000000
345.19233794	1494.00000000
345.64881712	1513.00000000
346.10533290	1523.00000000
346.56188530	1513.00000000
347.01847432	1488.00000000
347.47509995	1518.00000000
347.93176221	1516.00000000
348.38846110	1518.00000000
348.84519662	1518.00000000
349.30196878	1522.00000000
349.75877758	1525.00000000
350.21562302	1522.00000000
350.67250511	1503.00000000
351.12942385	1505.00000000
351.58637924	1469.00000000
352.04337130	1523.00000000
352.50040002	1505.00000000
352.95746540	1501.00000000
353.41456746	1507.00000000
353.87170619	1512.00000000
354.32888160	1511.00000000
354.78609370	1521.00000000
355.24334248	1510.00000000
355.70062795	1517.00000000
356.15795012	1504.00000000
356.61530898	1514.00000000
357.07270455	1512.00000000
357.53013682	1501.00000000
357.98760580	1503.00000000
358.44511150	1526.00000000
358.90265391	1491.00000000
359.36023305	1515.00000000
359.81784891	1499.00000000
360.27550150	1491.00000000
360.73319082	1508.00000000
361.19091688	1519.00000000
361.64867969	1516.00000000
362.10647923	1513.00000000
362.56431553	1524.00000000
363.02218858	1517.00000000
363.48009839	1528.00000000
363.93804495	1515.00000000
364.39602828	1503.00000000
364.85404838	1504.00000000
365.31210525	1522.00000000
365.77019890	1518.00000000
366.22832933	1516.00000000
366.68649654	1512.00000000
367.14470054	1508.00000000
367.60294133	1522.00000000
368.06121892	1501.00000000
368.51953331	1522.00000000
368.97788450	1498.00000000
369.43627249	1526.00000000
369.89469730	1501.00000000
370.35315893	1497.00000000
370.81165737	1512.00000000
371.27019263	1497.00000000
371.72876473	1520.00000000
372.18737365	1505.00000000
372.64601941	1504.00000000
373.10470200	1518.00000000
373.56342144	1500.00000000
374.02217772	1506.00000000
374.48097086	1495.00000000
374.93980085	1508.00000000
375.39866769	1439.00000000
375.85757140	1508.00000000
376.31651197	1487.00000000
376.77548942	1486.00000000
377.23450373	1517.00000000
377.69355493	1521.00000000
