Spectrum sequence number 0
Saved at time: 462504 milliseconds
Integration time: 500000
Scans to average: 10
Boxcar smoothing: 0
Wavelengths	Intensities
336.52618408	1516.00000000
336.98196843	1525.00000000
337.43778931	1479.00000000
337.89364673	1500.00000000
338.34954070	1508.00000000
338.80547121	1511.00000000
339.26143827	1517.00000000
339.71744189	1533.00000000
340.17348206	1464.00000000
340.62955880	1522.00000000
341.08567210	1512.00000000
341.54182197	1524.00000000
341.99800842	1522.00000000
342.45423144	1479.00000000
342.91049105	1490.00000000
343.36678724	1508.00000000
343.82312002	1494.00000000
344.27948940	1515.00000000
344.73589537	1512.00000000
345.19233794	1491.00000000
345.64881712	1513.00000000
346.10533290	1515.00000000
346.56188530	1510.00000000
347.01847432	1483.00000000
347.47509995	1515.00000000
347.93176221	1513.00000000
348.38846110	1510.00000000
348.84519662	1513.00000000
349.30196878	1523.00000000
349.75877758	1523.00000000
350.21562302	1517.00000000
350.67250511	1516.00000000
351.12942385	1511.00000000
351.58637924	1473.00000000
352.04337130	1519.00000000
352.50040002	1493.00000000
352.95746540	1500.00000000
353.41456746	1505.00000000
353.87170619	1513.00000000
354.32888160	1506.00000000
354.78609370	1512.00000000
355.24334248	1501.00000000
355.70062795	1518.00000000
356.15795012	1506.00000000
356.61530898	1518.00000000
357.07270455	1496.00000000
357.53013682	1505.00000000
357.98760580	1496.00000000
358.44511150	1514.00000000
358.90265391	1486.00000000
359.36023305	1509.00000000
359.81784891	1497.00000000
360.27550150	1483.00000000
360.73319082	1508.00000000
361.19091688	1522.00000000
361.64867969	1516.00000000
362.10647923	1503.00000000
362.56431553	1522.00000000
363.02218858	1517.00000000
363.48009839	1521.00000000
363.93804495	1527.00000000
364.39602828	1501.00000000
364.85404838	1490.00000000
365.31210525	1527.00000000
365.77019890	1499.00000000
366.22832933	1515.00000000
366.68649654	1512.00000000
367.14470054	1507.00000000
367.60294133	1520.00000000
368.06121892	1506.00000000
368.51953331	1523.00000000
368.97788450	1493.00000000
369.43627249	1527.00000000
369.89469730	1509.00000000
370.35315893	1491.00000000
370.81165737	1505.00000000
371.27019263	1494.00000000
371.72876473	1519.00000000
372.18737365	1494.00000000
372.64601941	1509.00000000
373.10470200	1513.00000000
373.56342144	1500.00000000
374.02217772	1508.00000000
374.48097086	1480.00000000
374.93980085	1505.00000000
375.39866769	1443.00000000
375.85757140	1516.00000000
376.31651197	1486.00000000
376.77548942	1475.00000000
377.23450373	1518.00000000
377.69355493	1523.00000000
378.15264300	1508.00000000
378.61176796	1510.00000000
379.07092981	1508.00000000
379.53012855	1487.00000000
379.98936419	1505.00000000
380.44863673	1513.00000000
380.90794617	1519.00000000
381.36729253	1525.00000000
381.82667579	1509.00000000
382.28609597	1497.00000000
382.74555307	1501.00000000
383.20504710	1517.00000000
383.66457805	1521.00000000
384.12414594	1509.00000000
384.58375076	1505.00000000
385.04339252	1524.00000000
385.50307122	1528.00000000
385.96278687	1512.00000000
386.42253947	1520.00000000
386.88232903	1509.00000000
387.34215555	1521.00000000
387.80201903	1511.00000000
388.26191947	1516.00000000
388.72185689	1518.00000000
389.18183128	1525.00000000
389.64184265	1513.00000000
390.10189100	1508.00000000
390.56197634	1513.00000000
391.02209867	1518.00000000
391.48225799	1488.00000000
391.94245431	1508.00000000
392.40268763	1522.00000000
392.86295796	1498.00000000
393.32326530	1475.00000000
393.78360965	1503.00000000
394.24399102	1515.00000000
394.70440941	1534.00000000
395.16486482	1501.00000000
395.62535727	1521.00000000
396.08588674	1500.00000000
396.54645326	1507.00000000
397.00705681	1519.00000000
397.46769741	1502.00000000
397.92837506	1509.00000000
398.38908976	1485.00000000
398.84984151	1514.00000000
399.31063033	1504.00000000
399.77145621	1513.00000000
400.23231916	1517.00000000
400.69321918	1503.00000000
401.15415627	1515.00000000
401.61513045	1525.00000000
402.07614171	1529.00000000
402.53719006	1538.00000000
402.99827549	1533.00000000
403.45939803	1530.00000000
403.92055766	1514.00000000
404.38175439	1540.00000000
404.84298824	1524.00000000
405.30425919	1530.00000000
405.76556726	1537.00000000
406.22691244	1533.00000000
406.68829475	1514.00000000
407.14971418	1519.00000000
407.61117075	1501.00000000
408.07266445	1526.00000000
408.53419529	1502.00000000
408.99576326	1523.00000000
409.45736839	1500.00000000
409.91901066	1510.00000000
410.38069009	1497.00000000
410.84240668	1510.00000000
411.30416042	1516.00000000
411.76595133	1529.00000000
412.22777942	1504.00000000
412.68964467	1518.00000000
413.15154710	1526.00000000
413.61348671	1523.00000000
414.07546351	1486.00000000
414.53747749	1524.00000000
414.99952867	1524.00000000
415.46161704	1526.00000000
415.92374262	1533.00000000
416.38590540	1519.00000000
